Date,USD
11/4/2014,60.267
10/4/2014,60.2115
9/4/2014,60.074
7/4/2014,59.9483
4/4/2014,60.321
3/4/2014,60.1245
2/4/2014,59.6463
28/03/2014,60.0998
27/03/2014,60.1295
26/03/2014,60.1725
25/03/2014,60.4935
24/03/2014,60.703
21/03/2014,61.0465
20/03/2014,61.131
19/03/2014,61.097
18/03/2014,60.9453
14/03/2014,61.517
13/03/2014,61.0155
12/3/2014,61.09
11/3/2014,60.6995
10/3/2014,61.1965
7/3/2014,60.985
6/3/2014,61.3242
5/3/2014,61.855
4/3/2014,61.9045
3/3/2014,61.8605
28/02/2014,62.072
26/02/2014,61.938
25/02/2014,61.9765
24/02/2014,62.1185
21/02/2014,62.1618
20/02/2014,62.2843
18/02/2014,62.122
17/02/2014,61.9495
14/02/2014,62.277
13/02/2014,62.2725
12/2/2014,62.125
11/2/2014,62.439
10/2/2014,62.193
7/2/2014,62.3155
6/2/2014,62.5045
5/2/2014,62.4525
4/2/2014,62.6815
3/2/2014,62.6891
31/01/2014,62.4768
30/01/2014,62.7335
29/01/2014,62.2005
28/01/2014,62.9898
27/01/2014,62.7145
24/01/2014,62.177
23/01/2014,61.988
22/01/2014,61.92
21/01/2014,61.5355
20/01/2014,61.6345
17/01/2014,61.3518
16/01/2014,61.5325
15/01/2014,61.5885
13/01/2014,61.52
10/1/2014,61.936
9/1/2014,62.181
8/1/2014,62.243
7/1/2014,62.379
6/1/2014,62.3265
3/1/2014,62.4075
2/1/2014,61.902
1/1/2014,61.9335
31/12/2013,61.897
30/12/2013,62.0028
27/12/2013,62.0595
26/12/2013,61.9755
24/12/2013,61.8668
23/12/2013,61.9915
20/12/2013,62.242
19/12/2013,62.38
18/12/2013,61.9176
17/12/2013,61.958
16/12/2013,62.1024
13/12/2013,62.1266
12/12/2013,61.62
11/12/2013,61.3313
10/12/2013,61.207
9/12/2013,61.1785
6/12/2013,61.6673
5/12/2013,61.6895
4/12/2013,62.333
3/12/2013,62.3443
2/12/2013,62.226
29/11/2013,62.3948
28/11/2013,62.3896
27/11/2013,62.3625
26/11/2013,62.447
25/11/2013,62.577
22/11/2013,63.0236
21/11/2013,62.8895
20/11/2013,62.558
19/11/2013,62.2311
18/11/2013,62.625
14/11/2013,63.0645
13/11/2013,63.6545
12/11/2013,63.593
11/11/2013,63.2955
8/11/2013,62.7315
7/11/2013,62.574
6/11/2013,61.9225
5/11/2013,61.788
1/11/2013,61.9046
31/10/2013,61.41
30/10/2013,61.4871
29/10/2013,61.463
28/10/2013,61.503
25/10/2013,61.625
24/10/2013,61.4105
23/10/2013,61.534
22/10/2013,61.78
21/10/2013,61.4885
18/10/2013,61.276
17/10/2013,61.581
15/10/2013,61.6929
14/10/2013,61.3036
11/10/2013,61.157
10/10/2013,62.1383
9/10/2013,61.917
8/10/2013,61.6885
7/10/2013,61.776
4/10/2013,61.405
3/10/2013,61.9348
1/10/2013,62.3555
30/09/2013,62.777
27/09/2013,61.811
26/09/2013,62.226
25/09/2013,62.6981
24/09/2013,62.6585
23/09/2013,62.52
20/09/2013,62.243
19/09/2013,61.748
18/09/2013,63.144
17/09/2013,63.377
16/09/2013,62.484
13/09/2013,63.789
12/9/2013,63.6673
11/9/2013,63.9035
10/9/2013,64.2162
6/9/2013,65.96
5/9/2013,66.043
4/9/2013,67.0289
3/9/2013,66.8875
2/9/2013,65.8608
30/08/2013,66.5742
29/08/2013,67.706
28/08/2013,68.3611
27/08/2013,65.6675
26/08/2013,64.2347
23/08/2013,64.688
22/08/2013,65.4207
21/08/2013,63.4605
20/08/2013,63.7335
19/08/2013,62.3461
16/08/2013,61.8195
14/08/2013,61.516
13/08/2013,61.4343
12/8/2013,60.8025
8/8/2013,61.115
7/8/2013,61.394
6/8/2013,61.5355
5/8/2013,60.822
2/8/2013,60.8035
1/8/2013,60.7423
31/07/2013,61.115
30/07/2013,59.828
29/07/2013,59.297
26/07/2013,58.9133
25/07/2013,58.9415
24/07/2013,59.4465
23/07/2013,59.6875
22/07/2013,59.408
19/07/2013,59.795
18/07/2013,59.712
17/07/2013,59.3623
16/07/2013,59.3925
15/07/2013,60.051
12/7/2013,59.896
11/7/2013,59.642
10/7/2013,60.133
9/7/2013,60.0745
8/7/2013,61.0455
5/7/2013,60.3395
4/7/2013,60.0905
3/7/2013,60.1005
2/7/2013,59.4145
1/7/2013,59.149
28/06/2013,59.6995
27/06/2013,60.588
26/06/2013,59.8538
25/06/2013,59.703
24/06/2013,59.734
21/06/2013,59.3505
20/06/2013,59.7
19/06/2013,58.7445
18/06/2013,58.4515
17/06/2013,57.731
14/06/2013,57.741
13/06/2013,58.414
12/6/2013,58.274
11/6/2013,58.9255
10/6/2013,57.782
7/6/2013,56.7445
6/6/2013,56.869
5/6/2013,56.4238
4/6/2013,56.6423
3/6/2013,56.574
31/05/2013,56.4958
30/05/2013,56.0995
29/05/2013,56.243
28/05/2013,55.7423
27/05/2013,55.6198
24/05/2013,55.6075
23/05/2013,55.991
22/05/2013,55.522
21/05/2013,55.0395
20/05/2013,55.0368
17/05/2013,54.8865
16/05/2013,54.7723
15/05/2013,54.7835
14/05/2013,54.6275
13/05/2013,54.915
10/5/2013,54.5413
9/5/2013,54.2415
8/5/2013,54.16
7/5/2013,54.277
6/5/2013,53.9495
3/5/2013,53.951
2/5/2013,53.7355
30/04/2013,54.219
29/04/2013,54.277
26/04/2013,54.2935
25/04/2013,54.1715
23/04/2013,54.2995
22/04/2013,54.1665
18/04/2013,54.0298
17/04/2013,53.9423
16/04/2013,54.329
15/04/2013,54.626
12/4/2013,54.4425
10/4/2013,54.534
9/4/2013,54.4613
8/4/2013,54.7215
5/4/2013,54.8803
4/4/2013,54.646
3/4/2013,54.3885
2/4/2013,54.3345
28/03/2013,54.3893
26/03/2013,54.2735
25/03/2013,54.099
22/03/2013,54.335
21/03/2013,54.281
20/03/2013,54.378
19/03/2013,54.2635
18/03/2013,54.2915
15/03/2013,54.1605
14/03/2013,54.442
13/03/2013,54.11
12/3/2013,54.3365
11/3/2013,54.2933
8/3/2013,54.4035
7/3/2013,54.7393
6/3/2013,54.7065
5/3/2013,54.652
4/3/2013,55.0518
1/3/2013,54.4815
28/02/2013,53.7735
27/02/2013,53.835
26/02/2013,54.0645
25/02/2013,54.0415
22/02/2013,54.427
21/02/2013,54.48
20/02/2013,54.051
18/02/2013,54.2895
15/02/2013,53.9885
14/02/2013,53.8715
13/02/2013,53.85
12/2/2013,53.9585
11/2/2013,53.6793
8/2/2013,53.5695
7/2/2013,53.1445
6/2/2013,53.0855
5/2/2013,53.2945
4/2/2013,52.973
1/2/2013,53.3238
31/01/2013,53.289
30/01/2013,53.5678
29/01/2013,53.7015
28/01/2013,53.8905
24/01/2013,53.8515
23/01/2013,53.771
22/01/2013,53.5115
21/01/2013,53.8735
18/01/2013,53.9465
17/01/2013,54.6428
16/01/2013,54.826
15/01/2013,54.5425
14/01/2013,54.6355
11/1/2013,54.539
10/1/2013,54.6305
9/1/2013,54.9625
8/1/2013,55.3278
7/1/2013,54.978
4/1/2013,54.8458
3/1/2013,54.4153
2/1/2013,54.389
1/1/2013,54.832
31/12/2012,54.7773
28/12/2012,54.8473
27/12/2012,54.8465
26/12/2012,54.9635
24/12/2012,55.0858
21/12/2012,55.086
20/12/2012,54.842
19/12/2012,54.7365
18/12/2012,54.849
17/12/2012,54.629
14/12/2012,54.388
13/12/2012,54.232
12/12/2012,54.2725
11/12/2012,54.316
10/12/2012,54.3405
7/12/2012,54.2018
6/12/2012,54.465
5/12/2012,54.569
4/12/2012,54.9473
3/12/2012,54.561
30/11/2012,54.5265
29/11/2012,55.202
27/11/2012,55.7045
26/11/2012,55.692
23/11/2012,55.3445
22/11/2012,55.1575
21/11/2012,55.2025
20/11/2012,54.91
19/11/2012,54.9665
16/11/2012,54.9915
15/11/2012,54.959
12/11/2012,54.934
9/11/2012,54.34
8/11/2012,54.4403
7/11/2012,54.252
6/11/2012,54.5955
5/11/2012,54.0778
2/11/2012,53.6645
1/11/2012,53.7798
31/10/2012,54.1175
30/10/2012,54.165
29/10/2012,53.8065
25/10/2012,53.63
23/10/2012,53.5895
22/10/2012,53.6735
19/10/2012,53.7175
18/10/2012,52.969
17/10/2012,52.751
16/10/2012,52.8193
15/10/2012,53.1198
12/10/2012,52.7
11/10/2012,53.073
10/10/2012,53.0445
9/10/2012,52.375
8/10/2012,52.2145
5/10/2012,51.6185
4/10/2012,51.9755
3/10/2012,52.3345
1/10/2012,52.7845
28/09/2012,52.697
27/09/2012,53.255
26/09/2012,53.5785
25/09/2012,53.534
24/09/2012,53.293
21/09/2012,53.9055
20/09/2012,54.3375
18/09/2012,54.257
17/09/2012,53.974
14/09/2012,54.727
13/09/2012,55.443
12/9/2012,55.2605
11/9/2012,55.5223
10/9/2012,55.339
7/9/2012,55.523
6/9/2012,55.9735
5/9/2012,55.895
4/9/2012,55.536
3/9/2012,55.454
31/08/2012,55.7215
30/08/2012,55.6485
29/08/2012,55.6653
28/08/2012,55.7795
27/08/2012,55.593
24/08/2012,55.382
23/08/2012,55.1855
22/08/2012,55.5105
21/08/2012,55.5405
17/08/2012,55.7023
16/08/2012,55.989
14/08/2012,55.6435
13/08/2012,55.418
10/8/2012,55.344
9/8/2012,55.1715
8/8/2012,55.145
7/8/2012,55.4995
6/8/2012,55.473
3/8/2012,56.0845
2/8/2012,55.7765
1/8/2012,55.4825
31/07/2012,55.807
30/07/2012,55.4428
27/07/2012,55.413
26/07/2012,55.948
25/07/2012,56.3755
24/07/2012,56.015
23/07/2012,55.7643
20/07/2012,55.1515
19/07/2012,55.383
18/07/2012,55.3395
17/07/2012,55.1455
16/07/2012,54.918
13/07/2012,55.656
12/7/2012,55.6985
11/7/2012,55.365
10/7/2012,55.8055
9/7/2012,56.0215
6/7/2012,55.415
5/7/2012,55.025
4/7/2012,54.5525
3/7/2012,54.8125
2/7/2012,55.83
29/06/2012,56.309
28/06/2012,56.9195
27/06/2012,57.2165
26/06/2012,57.0728
25/06/2012,56.534
22/06/2012,56.9928
21/06/2012,56.4178
20/06/2012,55.8585
19/06/2012,56.0143
18/06/2012,55.599
15/06/2012,55.763
14/06/2012,55.794
13/06/2012,55.8505
12/6/2012,56.0545
11/6/2012,55.2385
8/6/2012,55.364
7/6/2012,55.1455
6/6/2012,55.4958
5/6/2012,55.5615
4/6/2012,55.5155
1/6/2012,55.9175
31/05/2012,56.4225
30/05/2012,56.006
29/05/2012,55.5835
28/05/2012,55.2625
25/05/2012,55.7253
24/05/2012,56.287
23/05/2012,55.93
22/05/2012,54.8845
21/05/2012,54.681
18/05/2012,54.8755
17/05/2012,54.3875
16/05/2012,54.2925
15/05/2012,53.84
14/05/2012,53.7118
11/5/2012,53.641
10/5/2012,53.3375
9/5/2012,53.46
8/5/2012,52.855
7/5/2012,53.342
4/5/2012,53.7225
3/5/2012,53.2395
2/5/2012,52.9305
30/04/2012,52.5193
27/04/2012,52.6813
26/04/2012,52.567
25/04/2012,52.485
24/04/2012,52.791
23/04/2012,52.2295
20/04/2012,51.9995
19/04/2012,51.893
18/04/2012,51.5035
17/04/2012,51.6265
16/04/2012,51.659
13/04/2012,51.4175
12/4/2012,51.442
11/4/2012,51.547
10/4/2012,51.204
9/4/2012,51.2765
4/4/2012,51.0465
3/4/2012,50.5645
30/03/2012,51.1565
29/03/2012,51.145
28/03/2012,50.9175
27/03/2012,50.9083
26/03/2012,51.309
22/03/2012,50.9055
21/03/2012,50.5935
20/03/2012,50.2545
19/03/2012,50.1245
16/03/2012,50.313
15/03/2012,50.2225
14/03/2012,49.903
13/03/2012,49.845
12/3/2012,49.9448
9/3/2012,50.015
7/3/2012,50.5733
6/3/2012,50.0265
5/3/2012,49.7958
2/3/2012,49.3525
1/3/2012,49.1545
29/02/2012,48.9408
28/02/2012,49.143
27/02/2012,49.0475
24/02/2012,49.065
23/02/2012,49.245
22/02/2012,49.2453
21/02/2012,49.0835
17/02/2012,49.2128
15/02/2012,49.252
14/02/2012,49.3313
13/02/2012,49.318
10/2/2012,49.6445
9/2/2012,49.2895
8/2/2012,49.0683
7/2/2012,48.915
6/2/2012,48.679
3/2/2012,48.964
2/2/2012,49.1288
1/2/2012,49.5325
31/01/2012,49.6825
30/01/2012,49.503
27/01/2012,49.648
25/01/2012,50.0215
24/01/2012,49.9673
23/01/2012,50.2435
20/01/2012,50.3288
19/01/2012,50.289
18/01/2012,50.6655
17/01/2012,51.065
16/01/2012,51.6545
13/01/2012,51.431
12/1/2012,51.829
11/1/2012,51.7495
10/1/2012,52.2255
9/1/2012,52.7325
6/1/2012,52.7838
5/1/2012,52.781
4/1/2012,53.14
3/1/2012,53.2288
2/1/2012,53.2975
30/12/2011,53.266
29/12/2011,53.3585
28/12/2011,53.2145
27/12/2011,52.8945
26/12/2011,52.8205
23/12/2011,52.722
22/12/2011,52.7825
21/12/2011,52.675
20/12/2011,53.027
19/12/2011,52.9575
16/12/2011,52.814
15/12/2011,54.2355
14/12/2011,53.577
13/12/2011,53.403
12/12/2011,52.4238
9/12/2011,52.2285
8/12/2011,51.778
7/12/2011,51.449
5/12/2011,51.3925
2/12/2011,51.3523
1/12/2011,51.652
30/11/2011,52.165
29/11/2011,51.9308
28/11/2011,51.983
25/11/2011,52.1665
24/11/2011,52.25
23/11/2011,52.1005
22/11/2011,52.7015
21/11/2011,51.7165
18/11/2011,51.353
17/11/2011,50.722
16/11/2011,50.901
15/11/2011,50.5645
14/11/2011,50.0845
11/11/2011,50.2795
9/11/2011,49.781
8/11/2011,49.38
4/11/2011,49.084
3/11/2011,49.3748
2/11/2011,49.2508
1/11/2011,49.0775
31/10/2011,48.873
28/10/2011,48.821
25/10/2011,49.6598
24/10/2011,49.8745
21/10/2011,50.067
20/10/2011,49.711
19/10/2011,49.1775
18/10/2011,49.136
17/10/2011,48.8925
14/10/2011,49.0675
13/10/2011,49.0228
12/10/2011,49.241
11/10/2011,49.0333
10/10/2011,49.071
7/10/2011,49.1355
5/10/2011,49.1918
4/10/2011,49.225
3/10/2011,49.424
29/09/2011,48.9253
28/09/2011,48.912
27/09/2011,49.1775
26/09/2011,49.617
23/09/2011,49.673
22/09/2011,48.8205
21/09/2011,47.89
20/09/2011,48.2225
19/09/2011,47.792
16/09/2011,47.467
15/09/2011,47.8435
14/09/2011,47.8055
13/09/2011,47.0963
12/9/2011,46.9735
9/9/2011,46.3843
8/9/2011,46.1775
7/9/2011,46.0218
6/9/2011,46.127
5/9/2011,45.9375
2/9/2011,45.8965
30/08/2011,46.019
29/08/2011,45.8708
26/08/2011,46.0528
25/08/2011,46.1285
24/08/2011,45.7695
23/08/2011,45.689
22/08/2011,45.9483
18/08/2011,45.6105
17/08/2011,45.3695
16/08/2011,45.249
12/8/2011,45.374
11/8/2011,45.2713
10/8/2011,45.2058
9/8/2011,45.1745
8/8/2011,44.962
